epoch,train_loss,val_acc
1,4.9445,4.28
2,4.5689,6.17
3,4.3400,8.55
4,4.1695,10.22
5,4.0566,11.98
6,3.9493,13.79
7,3.8734,15.64
8,3.7875,15.48
9,3.7073,17.67
10,3.6375,19.54
11,3.5527,20.49
12,3.4828,22.08
13,3.3747,23.06
14,3.3052,25.55
15,3.2192,29.09
16,3.1451,25.66
17,3.0684,30.30
18,3.0053,31.37
19,2.9335,31.52
20,2.8762,34.17
21,2.8145,34.55
22,2.7764,35.82
23,2.7215,35.17
24,2.6719,36.71
25,2.6441,35.80
26,2.5945,38.87
27,2.5494,39.32
28,2.5030,40.45
29,2.4788,39.52
30,2.4351,39.36
31,2.4049,40.86
32,2.3740,42.86
33,2.3221,43.75
34,2.2889,42.66
35,2.2441,43.77
36,2.2230,43.68
37,2.1909,45.27
38,2.1737,45.29
39,2.1278,46.05
40,2.1041,45.82
41,2.0558,47.16
42,2.0286,48.81
43,1.9945,45.64
44,1.9657,46.60
45,1.9514,49.14
46,1.9059,49.39
47,1.8815,49.16
48,1.8508,50.06
49,1.8253,50.46
50,1.8091,50.70
51,1.7692,50.30
52,1.7398,50.90
53,1.7355,51.55
54,1.6979,50.03
55,1.6716,52.06
56,1.6434,52.26
57,1.6189,52.55
58,1.5912,53.24
59,1.5648,51.53
60,1.5522,52.93
